Timestamp,How old are you? (in years),How many years have you been cubing?,What is your global average? (in seconds),What is your primary method for speedsolving?,"On average, how many timed 3x3 solves do you do each day?",Approximately how many seconds of inspection do you use?,Approximately how many algorithms do you know for 3x3?,Are you color neutral (>1 color counts)?
3/22/2020 2:02,48,2,30,CFOP,30,10,50,No
3/22/2020 2:34,15,5,8.5,CFOP,40,8,90,Yes
3/22/2020 3:02,26,7,14,CFOP,60,10,150,Yes
3/22/2020 3:09,21,8,21,CFOP,50,15,50,No
3/22/2020 3:20,24,18,9.5,CFOP,0,13,400,Yes
3/22/2020 3:26,15,3,16.5,CFOP,30,8,35,Yes
3/22/2020 3:43,17,8,7.5,CFOP,50,10,150,No
3/22/2020 3:47,23,5,14,CFOP,0,10,90,No
3/22/2020 3:51,19,2.5,15.87,CFOP,7,14,57,Yes
3/22/2020 4:13,22,9,11.2,CFOP,300,12,100,Yes
3/22/2020 4:14,18,6,10,CFOP,50,15,60,Yes
3/22/2020 4:16,16,6,7.4,CFOP,50,10,280,Yes
3/22/2020 4:54,19,2,13,CFOP,200,8,80,No
3/22/2020 5:20,19,4,11,CFOP,23,10,80,Yes
3/22/2020 6:02,18,5,10,CFOP,80,10,150,Yes
3/22/2020 6:05,20,7,8.5,CFOP,5,10,150,Yes
3/22/2020 6:10,20,6.5,10,CFOP,10,8,100,No
3/22/2020 6:10,16,4,11,CFOP,50,6,90,Yes
3/22/2020 7:24,15,1.5,14.2,CFOP,0,10,100,No
3/22/2020 7:40,40,5,26,CFOP,10,6,25,No
3/22/2020 8:05,14,1.8,7.9,CFOP,10,9,100,Yes
3/22/2020 8:19,17,3,12,Roux,20,15,250,Yes
3/22/2020 8:34,22,8,9.5,CFOP,100,8,700,No
3/22/2020 8:35,20,6,8,Roux,15,12,80,Yes
3/22/2020 8:40,20,7,8.5,CFOP,75,10,200,Yes
3/22/2020 9:06,22,0,33,CFOP,50,10,25,No
3/22/2020 9:20,27,13,11,CFOP,2,8,300,Yes
3/22/2020 9:24,17,3.5,8.5,CFOP,50,10,100,No
3/22/2020 9:35,15,3,9.5,CFOP,80,7,100,No
3/22/2020 10:10,19,11,7,CFOP,75,10,120,Yes
3/22/2020 10:12,15,4,9,CFOP,5,15,95,Yes
3/22/2020 10:15,24,11,14,CFOP,60,8,100,No
3/22/2020 10:17,20,3,12,CFOP,20,4,1000,No
3/22/2020 10:18,15,2.5,9,CFOP,100,8,78,No
3/22/2020 10:20,23,11,13,CFOP,0,10,150,Yes
3/22/2020 10:23,15,3.5,9.2,CFOP,150,7,120,No
3/22/2020 10:25,14,6,10,CFOP,50,10,250,Yes
3/22/2020 10:38,19,3,13,Roux,25,12,80,Yes
3/22/2020 10:42,14,3,14,CFOP,100,6,90,No
3/22/2020 10:44,22,11,9,CFOP,0,10,1000,Yes
3/22/2020 10:53,19,5,8,CFOP,50,13,100,Yes
3/22/2020 10:54,24,3,15,CFOP,10,5,100,Yes
3/22/2020 11:03,15,1.5,14.5,CFOP,150,12,50,Yes
3/22/2020 11:26,26,11,10,CFOP,25,9,400,Yes
3/22/2020 11:32,15,3,7,CFOP,150,6,200,No
3/22/2020 11:38,14,2.5,8.9,CFOP,150,5,400,Yes
