No.;Time;Comment;Scramble;Date;P.1
61;13.01;;R2 D' F' U R2 U' R2 D2 B2 L2 U' F2 R' B' D' U2 R' D B';2020-03-21 15:51:08;13.01
62;13.19;;U2 R2 F2 D U B2 R2 B2 R2 F2 L U L2 B D2 U B' D F L;2020-03-21 15:51:33;13.19
63;14.96;;D' L U2 F2 D2 U2 L2 R' D2 R F2 U' R2 F L B L U F;2020-03-21 15:51:55;14.96
64;9.93;;R B2 U' B2 F2 D' B2 D' R2 U R2 D' F2 L B D2 U R U L B';2020-03-21 15:52:42;9.93
65;11.53;;U' D2 R B U L2 F D' R2 D2 F2 R2 F2 R' B2 D2 L D2 B2 L U';2020-03-21 15:53:05;11.53
66;12.03;;R2 F' U L U2 F L2 U' L2 U' D2 B2 L2 D2 B2 L2 U' L D';2020-03-21 15:53:28;12.03
67;12.18;;U' B U2 R2 B2 D2 R2 D' B2 U F2 U2 F L' D R' U' L B2 U2;2020-03-21 15:53:52;12.18
68;12.07;;D L' U2 F2 D2 B2 U F2 D R2 D F2 R2 U B' U F2 R' D';2020-03-21 15:54:32;12.07
69;12.41;;F L' F2 U2 R F2 L2 F2 U2 B2 U2 D' F2 U' F2 L' F' L2 B2;2020-03-21 15:54:56;12.41
70;13.66;;R U R2 D' B2 U' R2 D B2 D B2 L' R' B D2 U B R F R';2020-03-21 15:55:20;13.66
71;10.75;;B R2 B L U2 L2 B D' R2 U2 D2 R' D2 R' U2 R U2 R' B2 L2 D;2020-03-21 15:55:50;10.75
72;11.47;;D R2 B2 U L' U D' F' R' F2 U' B2 U2 L2 F2 R2 F2 U2 L2 F2;2020-03-21 15:57:42;11.47
73;11.74;;B' U F2 D2 F2 L' D2 L' U2 F2 D2 F2 B' D2 F' U' L' R U2;2020-03-21 15:58:04;11.74
74;9.98;;D2 U2 F2 U2 F2 R B2 L2 R' F2 R' U' R' B2 F L D' R B D;2020-03-21 15:58:27;9.98
75;12.20;;U R L2 B R' L D B U B2 U2 B U2 F D2 R2 B R2 L2;2020-03-21 15:58:47;12.20
76;11.81;;B2 F D L2 D R2 D L2 U L2 D R' U L D U' B L R2 D2;2020-03-21 15:59:09;11.81
77;21.93;;L2 D2 R' B2 D2 B2 D2 R' F2 D2 F2 L B' R' U B' F' D' B' R' B';2020-03-21 15:59:32;21.93
78;11.59;;F' D2 U2 R2 U2 B F2 U2 F R2 F2 U' L' U2 B' U R2 U F R';2020-03-21 16:00:03;11.59
79;13.57;;U R' L' F B U' R2 F' D U2 F L2 D2 R2 L2 F D2 F' U2 B' U;2020-03-21 16:00:28;13.57
80;13.41;;D' L' B' U2 F R2 D2 R2 U2 B' D2 U2 F2 U' R' D B L' R2 B2;2020-03-21 16:00:51;13.41
81;13.81;;D2 R B R' L' F' D B U2 R2 U' L2 F2 D F2 R2 B2 D B2 D2 F';2020-03-21 16:01:16;13.81
